,Unnamed: 0,drug_a_name,drug_b_name,cell_line,synergy,fold,label
39,5-FU_AZD1775_A2058,5-FU,AZD1775,A2058,13.0526874408,1,0
40,5-FU_AZD1775_A2780,5-FU,AZD1775,A2780,11.2772729471,1,0
41,5-FU_AZD1775_A375,5-FU,AZD1775,A375,2.7051275464,1,0
42,5-FU_AZD1775_A427,5-FU,AZD1775,A427,7.4940610975,1,0
43,5-FU_AZD1775_CAOV3,5-FU,AZD1775,CAOV3,23.9861795387,1,0
44,5-FU_AZD1775_COLO320DM,5-FU,AZD1775,COLO320DM,9.3986845957,1,0
45,5-FU_AZD1775_DLD1,5-FU,AZD1775,DLD1,9.8201244067,1,0
46,5-FU_AZD1775_EFM192B,5-FU,AZD1775,EFM192B,2.9248207557,1,0
47,5-FU_AZD1775_ES2,5-FU,AZD1775,ES2,10.0575260869,1,0
48,5-FU_AZD1775_HCT116,5-FU,AZD1775,HCT116,13.9612713843,1,0
49,5-FU_AZD1775_HT144,5-FU,AZD1775,HT144,6.0653890015,1,0
50,5-FU_AZD1775_HT29,5-FU,AZD1775,HT29,-2.712205241,1,0
51,5-FU_AZD1775_KPL1,5-FU,AZD1775,KPL1,-2.0611613488,1,0
52,5-FU_AZD1775_LNCAP,5-FU,AZD1775,LNCAP,9.9703894066,1,0
53,5-FU_AZD1775_LOVO,5-FU,AZD1775,LOVO,-4.0015073281,1,0
54,5-FU_AZD1775_MDAMB436,5-FU,AZD1775,MDAMB436,23.3811341972,1,0
55,5-FU_AZD1775_MSTO,5-FU,AZD1775,MSTO,-32.9906191851,1,0
56,5-FU_AZD1775_NCIH1650,5-FU,AZD1775,NCIH1650,10.773397668,1,0
57,5-FU_AZD1775_NCIH2122,5-FU,AZD1775,NCIH2122,4.3178885654,1,0
58,5-FU_AZD1775_NCIH23,5-FU,AZD1775,NCIH23,-7.1158991851,1,0
59,5-FU_AZD1775_NCIH460,5-FU,AZD1775,NCIH460,13.5826976918,1,0
60,5-FU_AZD1775_NCIH520,5-FU,AZD1775,NCIH520,2.5787085802,1,0
61,5-FU_AZD1775_OCUBM,5-FU,AZD1775,OCUBM,33.5929258791,1,1
62,5-FU_AZD1775_OV90,5-FU,AZD1775,OV90,-3.1936519467,1,0
63,5-FU_AZD1775_OVCAR3,5-FU,AZD1775,OVCAR3,12.2336919622,1,0
64,5-FU_AZD1775_PA1,5-FU,AZD1775,PA1,25.0726247672,1,0
65,5-FU_AZD1775_RKO,5-FU,AZD1775,RKO,19.3332015124,1,0
66,5-FU_AZD1775_RPMI7951,5-FU,AZD1775,RPMI7951,16.722015116,1,0
67,5-FU_AZD1775_SKMEL30,5-FU,AZD1775,SKMEL30,2.2887188875,1,0
68,5-FU_AZD1775_SKMES1,5-FU,AZD1775,SKMES1,33.3532583969,1,1
69,5-FU_AZD1775_SKOV3,5-FU,AZD1775,SKOV3,18.7449639444,1,0
70,5-FU_AZD1775_SW620,5-FU,AZD1775,SW620,8.0516725326,1,0
71,5-FU_AZD1775_SW837,5-FU,AZD1775,SW837,2.5778554159,1,0
72,5-FU_AZD1775_T47D,5-FU,AZD1775,T47D,10.0383629005,1,0
73,5-FU_AZD1775_UACC62,5-FU,AZD1775,UACC62,11.4593505287,1,0
74,5-FU_AZD1775_UWB1289BRCA1,5-FU,AZD1775,UWB1289BRCA1,6.2221139781,1,0
75,5-FU_AZD1775_UWB1289,5-FU,AZD1775,UWB1289,70.1581688167,1,1
76,5-FU_AZD1775_VCAP,5-FU,AZD1775,VCAP,-0.9983275325,1,0
77,5-FU_AZD1775_ZR751,5-FU,AZD1775,ZR751,0.423932097,1,0
78,5-FU_BEZ-235_A2058,5-FU,BEZ-235,A2058,13.6791116022,1,0
79,5-FU_BEZ-235_A2780,5-FU,BEZ-235,A2780,3.9332239081,1,0
80,5-FU_BEZ-235_A375,5-FU,BEZ-235,A375,3.2905479611,1,0
81,5-FU_BEZ-235_A427,5-FU,BEZ-235,A427,8.8428112257,1,0
82,5-FU_BEZ-235_CAOV3,5-FU,BEZ-235,CAOV3,4.4325063513,1,0
83,5-FU_BEZ-235_COLO320DM,5-FU,BEZ-235,COLO320DM,15.6281477403,1,0
84,5-FU_BEZ-235_DLD1,5-FU,BEZ-235,DLD1,13.0355787543,1,0
85,5-FU_BEZ-235_EFM192B,5-FU,BEZ-235,EFM192B,9.660318047,1,0
86,5-FU_BEZ-235_ES2,5-FU,BEZ-235,ES2,2.4774290291,1,0
87,5-FU_BEZ-235_HCT116,5-FU,BEZ-235,HCT116,2.7457843603,1,0
88,5-FU_BEZ-235_HT144,5-FU,BEZ-235,HT144,2.3230897887,1,0
89,5-FU_BEZ-235_HT29,5-FU,BEZ-235,HT29,11.8958027211,1,0
90,5-FU_BEZ-235_KPL1,5-FU,BEZ-235,KPL1,16.462849087,1,0
91,5-FU_BEZ-235_LNCAP,5-FU,BEZ-235,LNCAP,55.291299337,1,1
92,5-FU_BEZ-235_LOVO,5-FU,BEZ-235,LOVO,0.0497243445,1,0
93,5-FU_BEZ-235_MDAMB436,5-FU,BEZ-235,MDAMB436,18.9742923554,1,0
94,5-FU_BEZ-235_MSTO,5-FU,BEZ-235,MSTO,-8.3211162122,1,0
95,5-FU_BEZ-235_NCIH1650,5-FU,BEZ-235,NCIH1650,17.6381552118,1,0
96,5-FU_BEZ-235_NCIH2122,5-FU,BEZ-235,NCIH2122,7.6972734841,1,0
97,5-FU_BEZ-235_NCIH23,5-FU,BEZ-235,NCIH23,4.9902197108,1,0
98,5-FU_BEZ-235_NCIH460,5-FU,BEZ-235,NCIH460,20.1004137353,1,0
99,5-FU_BEZ-235_NCIH520,5-FU,BEZ-235,NCIH520,16.7217972261,1,0
100,5-FU_BEZ-235_OCUBM,5-FU,BEZ-235,OCUBM,16.3880555937,1,0
101,5-FU_BEZ-235_OV90,5-FU,BEZ-235,OV90,17.5470785652,1,0
102,5-FU_BEZ-235_OVCAR3,5-FU,BEZ-235,OVCAR3,17.1196123484,1,0
103,5-FU_BEZ-235_PA1,5-FU,BEZ-235,PA1,21.5623867189,1,0
104,5-FU_BEZ-235_RKO,5-FU,BEZ-235,RKO,16.9360013477,1,0
105,5-FU_BEZ-235_RPMI7951,5-FU,BEZ-235,RPMI7951,12.7059498499,1,0
106,5-FU_BEZ-235_SKMEL30,5-FU,BEZ-235,SKMEL30,-73.1384016545,1,0
